"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"1.1","IV",1.28024594338206,1.63902967554623,0.101280245943382,94,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"1.2","Ideal",0.879534736363659,0.773581352470292,0.100879534736364,94,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"1.3","MIME",-1.41141869865884,1.99210274292381,0.0985885813013412,85.6,97.6,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"1.4","Naive",1.32738463455917,1.76194996806378,0.101327384634559,94.8,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"1.5","PSC",1.01673512411683,1.03375031261286,0.101016735124117,28.4,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"1.6","SIMEX ind.",0.920447588593736,0.847223763348024,0.100920447588594,0,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"2.1","IV",0.740689585170479,0.548621061580016,0.10074068958517,94,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"2.2","Ideal",0.807549302765656,0.652135876397297,0.100807549302766,93.6,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"2.3","MIME",0.683649188274043,0.467376212627757,0.100683649188274,94,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"2.4","Naive",3.25623928677662,10.6030942927475,0.103256239286777,92.8,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"2.5","PSC",1.82757895761458,3.3400448463156,0.101827578957615,32.4,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"2.6","SIMEX ind.",0.570194263009578,0.325121497569036,0.10057019426301,0,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"3.1","IV",-0.122946646907196,0.0151158779857226,0.0998770533530928,94.4,99.6,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"3.2","Ideal",0.194823902418412,0.0379563529535391,0.100194823902418,93.2,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"3.3","MIME",-0.542625398094243,0.294442322656936,0.0994573746019058,88.8,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"3.4","Naive",9.18377806469625,84.3417795415961,0.109183778064696,90.8,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"3.5","PSC",3.90864913279112,15.2775380432688,0.103908649132791,29.2,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"3.6","SIMEX ind.",1.15372714472663,1.33108632447907,0.101153727144727,0,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"4.1","IV",0.136990950962457,0.0187665206455984,0.100136990950962,94.4,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"4.2","Ideal",-0.409796913663949,0.167933510448498,0.0995902030863361,96,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"4.3","MIME",-1.65017594021748,2.72308063367264,0.0983498240597825,93.2,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"4.4","Naive",16.4982980419822,272.193838282074,0.116498298041982,87.6,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"4.5","PSC",7.69259078315768,59.1759529571224,0.107692590783158,37.2,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"4.6","SIMEX ind.",5.60706499684771,31.4391778788748,0.105607064996848,0,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
