"","method","bias","rmse","estimate","ci_cov","power","n","sig_u","rho","aw","ba","mis"
"7.3","Ideal",0.0236892348699363,0.0236892348699363,1.0002368923487,91,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.4","MIME",0.0528304238865278,0.0528304238865278,1.00052830423887,91.2,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.5","Naive",0.347572026681214,0.347572026681214,1.00347572026681,91.6,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.6","RC",0.169599817174317,0.169599817174317,1.00169599817174,95,100,1000,0.25,0.15,0.75,1,"ps-mis"
"7.7","SIMEX",0.172565899711097,0.172565899711097,1.00172565899711,91.6,100,1000,0.25,0.15,0.75,1,"ps-mis"
"8.1","CV",-0.0173797946923292,0.0173797946923292,0.999826202053077,90.5660377358491,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.2","IV",0.368756690624084,0.368756690624084,1.00368756690624,90.4,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.3","Ideal",0.0346833781372071,0.0346833781372071,1.00034683378137,93.2,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.4","MIME",-0.168303384725186,0.168303384725186,0.998316966152748,93.8,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.5","Naive",0.80690187094803,0.80690187094803,1.00806901870948,89.8,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.6","RC",0.0271666251109619,0.0271666251109619,1.00027166625111,97.6,100,1000,0.5,0.15,0.75,1,"ps-mis"
"8.7","SIMEX",0.344098397594901,0.344098397594901,1.00344098397595,89.8,100,1000,0.5,0.15,0.75,1,"ps-mis"
"9.1","CV",-0.0647054932182097,0.0647054932182097,0.999352945067818,84.2857142857143,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.2","IV",0.662857456395759,0.662857456395759,1.00662857456396,90.8,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.3","Ideal",-0.0503751090003204,0.0503751090003204,0.999496248909997,93,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.4","MIME",-0.161277019260538,0.161277019260538,0.998387229807395,91.8,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.5","Naive",1.52672322316358,1.52672322316358,1.01526723223164,88,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.6","RC",-0.0755713889581053,0.0755713889581053,0.999244286110419,98.6,100,1000,0.75,0.15,0.75,1,"ps-mis"
"9.7","SIMEX",1.08645156678105,1.08645156678105,1.01086451566781,89.2,100,1000,0.75,0.15,0.75,1,"ps-mis"
"10.1","CV",-0.222081891442825,0.222081891442825,0.997779181085572,86.652977412731,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.2","IV",0.469443506002364,0.469443506002364,1.00469443506002,90.6,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.3","Ideal",-0.0312645505242321,0.0312645505242321,0.999687354494758,92.2,100,1000,0.9,0.15,0.75,1,"ps-mis"
