"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1.1","Ideal",-0.00802685605507074,6.44304181288258e-05,0.999919731439449,99.8,100,0.1,1,5000,0,0.2,0.1,0.25
"1.2","IV",-0.175627894703755,0.0308451573980733,0.998243721052962,95.8,100,0.1,1,5000,0,0.2,0.1,0.25
"1.3","Naive",0.21981948283879,0.0483206050355132,1.00219819482839,99.8,100,0.1,1,5000,0,0.2,0.1,0.25
"2.1","Ideal",-0.0813900475192429,0.00662433983518461,0.999186099524808,99.9,100,0.2,1,5000,0,0.2,0.1,0.25
"2.2","IV",-0.151442118491453,0.0229347152531793,0.998485578815085,95.4,100,0.2,1,5000,0,0.2,0.1,0.25
"2.3","Naive",0.886922989518046,0.786632389335628,1.00886922989518,99.5,100,0.2,1,5000,0,0.2,0.1,0.25
"3.1","Ideal",0.120271825609672,0.0144653120354834,1.0012027182561,99.9,100,0.3,1,5000,0,0.2,0.1,0.25
"3.2","IV",-0.0273206142625595,0.00074641596368357,0.999726793857374,95.9,100,0.3,1,5000,0,0.2,0.1,0.25
"3.3","Naive",2.22640167768819,4.95686443041277,1.02226401677688,99.3,100,0.3,1,5000,0,0.2,0.1,0.25
"4.1","Ideal",-0.046794530724671,0.00218972810574218,0.999532054692753,99.9,100,0.5,1,5000,0,0.2,0.1,0.25
"4.2","IV",-0.050231390032378,0.00252319254458489,0.999497686099676,96.2,100,0.5,1,5000,0,0.2,0.1,0.25
"4.3","Naive",4.9415897678649,24.4193094338671,1.04941589767865,94.4,100,0.5,1,5000,0,0.2,0.1,0.25
"5.1","Ideal",-0.00732663473980896,5.36795766105755e-05,0.999926733652602,99.7,100,0.9,1,5000,0,0.2,0.1,0.25
"5.2","IV",-0.380014659083669,0.144411141118477,0.996199853409163,95.4,100,0.9,1,5000,0,0.2,0.1,0.25
"5.3","Naive",10.9211378794989,119.271252583025,1.10921137879499,40.3,100,0.9,1,5000,0,0.2,0.1,0.25
"6.1","Ideal",-0.265138278035632,0.0702983064797003,0.997348617219644,100,100,0.1,1,5000,0,0.8,0.1,0.25
"6.2","IV",-0.334204347696103,0.111692546018978,0.996657956523039,95.1,100,0.1,1,5000,0,0.8,0.1,0.25
"6.3","Naive",-0.0262039763940866,0.000686648378861847,0.999737960236059,100,100,0.1,1,5000,0,0.8,0.1,0.25
"7.1","Ideal",0.183902776559342,0.0338202312262351,1.00183902776559,100,100,0.2,1,5000,0,0.8,0.1,0.25
"7.2","IV",0.0330088190723383,0.00108958213655036,1.00033008819072,95.1,100,0.2,1,5000,0,0.8,0.1,0.25
"7.3","Naive",1.05076526860325,1.10410764970286,1.01050765268603,99.9,100,0.2,1,5000,0,0.8,0.1,0.25
"8.1","Ideal",-0.039904098968764,0.00159233711450891,0.999600959010312,100,100,0.3,1,5000,0,0.8,0.1,0.25
"8.2","IV",0.0387200388947843,0.00149924141201361,1.00038720038895,94.6,100,0.3,1,5000,0,0.8,0.1,0.25
"8.3","Naive",1.7820048986558,3.17554145883325,1.01782004898656,99.9,100,0.3,1,5000,0,0.8,0.1,0.25
"9.1","Ideal",0.041465157843337,0.00171935931497285,1.00041465157843,99.8,100,0.5,1,5000,0,0.8,0.1,0.25
"9.2","IV",-0.0159226136053628,0.000253529624025685,0.999840773863946,95.9,100,0.5,1,5000,0,0.8,0.1,0.25
"9.3","Naive",3.76305018075295,14.1605466628648,1.03763050180753,98.3,100,0.5,1,5000,0,0.8,0.1,0.25
"10.1","Ideal",-0.0389699815462169,0.00151865946171249,0.999610300184538,100,100,0.9,1,5000,0,0.8,0.1,0.25
"10.2","IV",-0.419872209166722,0.176292672030544,0.995801277908333,95.8,100,0.9,1,5000,0,0.8,0.1,0.25
"10.3","Naive",6.18736910796098,38.2835364781499,1.06187369107961,92.4,100,0.9,1,5000,0,0.8,0.1,0.25
"11.1","Ideal",-0.0205970714179403,0.000424239350995732,0.999794029285821,100,100,0.1,1,5000,0,0.2,0.5,0.25
"11.2","IV",0.033383916621238,0.00111448588897377,1.00033383916621,95.7,100,0.1,1,5000,0,0.2,0.5,0.25
"11.3","Naive",0.217325507211296,0.0472303760846471,1.00217325507211,100,100,0.1,1,5000,0,0.2,0.5,0.25
"12.1","Ideal",0.0102247320315285,0.000104545145116566,1.00010224732032,99.9,100,0.2,1,5000,0,0.2,0.5,0.25
"12.2","IV",0.00633866421840514,4.01786640736897e-05,1.00006338664218,94.4,100,0.2,1,5000,0,0.2,0.5,0.25
"12.3","Naive",0.955211727669452,0.912429444677259,1.00955211727669,99.8,100,0.2,1,5000,0,0.2,0.5,0.25
"13.1","Ideal",-0.0129722563632259,0.000168279435153254,0.999870277436368,100,100,0.3,1,5000,0,0.2,0.5,0.25
"13.2","IV",0.00669547180808412,4.48293427328492e-05,1.00006695471808,94.9,100,0.3,1,5000,0,0.2,0.5,0.25
"13.3","Naive",2.01261573029751,4.05062207784096,1.02012615730297,99.3,100,0.3,1,5000,0,0.2,0.5,0.25
"14.1","Ideal",-0.171455777080208,0.0293970834941779,0.998285442229198,100,100,0.5,1,5000,0,0.2,0.5,0.25
"14.2","IV",-0.173431438827486,0.0300784639737721,0.998265685611725,96.1,100,0.5,1,5000,0,0.2,0.5,0.25
"14.3","Naive",4.74722195277664,22.5361162689244,1.04747221952777,94.7,100,0.5,1,5000,0,0.2,0.5,0.25
"15.1","Ideal",0.0503731502144032,0.00253745426252283,1.00050373150214,99.7,100,0.9,1,5000,0,0.2,0.5,0.25
"15.2","IV",-0.132033976828733,0.0174329710372104,0.998679660231713,94.8,100,0.9,1,5000,0,0.2,0.5,0.25
"15.3","Naive",10.8607972531012,117.956916972972,1.10860797253101,43,100,0.9,1,5000,0,0.2,0.5,0.25
"16.1","Ideal",0.162637625789051,0.0264509973222995,1.00162637625789,99.8,100,0.1,1,5000,0,0.8,0.5,0.25
"16.2","IV",0.0788580207189595,0.00621858743171184,1.00078858020719,95.6,100,0.1,1,5000,0,0.8,0.5,0.25
"16.3","Naive",0.413459246309745,0.170948548359023,1.0041345924631,99.8,100,0.1,1,5000,0,0.8,0.5,0.25
"17.1","Ideal",-0.0533967991588885,0.00285121816041467,0.999466032008411,100,100,0.2,1,5000,0,0.8,0.5,0.25
"17.2","IV",-0.0768398856027067,0.00590436801943705,0.999231601143973,95.5,100,0.2,1,5000,0,0.8,0.5,0.25
"17.3","Naive",0.840852150835377,0.707032339564479,1.00840852150835,99.8,100,0.2,1,5000,0,0.8,0.5,0.25
"18.1","Ideal",0.0629025767645976,0.0039567341636261,1.00062902576765,99.8,100,0.3,1,5000,0,0.8,0.5,0.25
"18.2","IV",0.112726429097942,0.0127072478171734,1.00112726429098,93.5,100,0.3,1,5000,0,0.8,0.5,0.25
"18.3","Naive",1.90328248230533,3.62248420745034,1.01903282482305,99.6,100,0.3,1,5000,0,0.8,0.5,0.25
"19.1","Ideal",-0.039740622856437,0.00157931710501756,0.999602593771436,99.8,100,0.5,1,5000,0,0.8,0.5,0.25
"19.2","IV",-0.0231750909443913,0.00053708484028081,0.999768249090556,93.9,100,0.5,1,5000,0,0.8,0.5,0.25
"19.3","Naive",3.6602128665576,13.3971582285138,1.03660212866558,98.5,100,0.5,1,5000,0,0.8,0.5,0.25
"20.1","Ideal",0.0130574079562461,0.000170495902535838,1.00013057407956,100,100,0.9,1,5000,0,0.8,0.5,0.25
"20.2","IV",0.0500317203709458,0.00250317304327651,1.00050031720371,94.5,100,0.9,1,5000,0,0.8,0.5,0.25
"20.3","Naive",6.151467507778,37.8405524992485,1.06151467507778,93.5,100,0.9,1,5000,0,0.8,0.5,0.25
"21.1","Ideal",0.0847845953962183,0.00718842761650043,1.00084784595396,100,100,0.1,1,5000,0,0.2,0.9,0.25
"21.2","IV",0.0807077614988148,0.00651374276614957,1.00080707761499,96.1,100,0.1,1,5000,0,0.2,0.9,0.25
"21.3","Naive",0.318466563217717,0.101420951887704,1.00318466563218,100,100,0.1,1,5000,0,0.2,0.9,0.25
"22.1","Ideal",-0.00878224282344218,7.71277890099016e-05,0.999912177571766,99.9,100,0.2,1,5000,0,0.2,0.9,0.25
"22.2","IV",0.0318351631913124,0.00101347761541749,1.00031835163191,94.3,100,0.2,1,5000,0,0.2,0.9,0.25
"22.3","Naive",0.971649808702999,0.944103350752574,1.00971649808703,99.7,100,0.2,1,5000,0,0.2,0.9,0.25
"23.1","Ideal",0.132142404760148,0.0174616151357948,1.0013214240476,99.8,100,0.3,1,5000,0,0.2,0.9,0.25
"23.2","IV",0.0673120791843104,0.00453091600411487,1.00067312079184,96.6,100,0.3,1,5000,0,0.2,0.9,0.25
"23.3","Naive",2.15715568438179,4.65332064666067,1.02157155684382,99.7,100,0.3,1,5000,0,0.2,0.9,0.25
"24.1","Ideal",-0.106414080678978,0.011323956566752,0.99893585919321,100,100,0.5,1,5000,0,0.2,0.9,0.25
"24.2","IV",-0.0767001373450763,0.00588291106875357,0.999232998626549,94.4,100,0.5,1,5000,0,0.2,0.9,0.25
"24.3","Naive",4.85353552794184,23.5568071209937,1.04853535527942,93.5,100,0.5,1,5000,0,0.2,0.9,0.25
"25.1","Ideal",0.0591764236250644,0.00350184911305308,1.00059176423625,100,100,0.9,1,5000,0,0.2,0.9,0.25
"25.2","IV",-0.000720886958802569,5.19678007371616e-07,0.999992791130412,94.3,100,0.9,1,5000,0,0.2,0.9,0.25
"25.3","Naive",10.954138337997,119.993146727976,1.10954138337997,41,100,0.9,1,5000,0,0.2,0.9,0.25
"26.1","Ideal",-0.0238950470420052,0.00057097327313964,0.99976104952958,100,100,0.1,1,5000,0,0.8,0.9,0.25
"26.2","IV",-0.0350770030398754,0.00123039614225943,0.999649229969601,95.8,100,0.1,1,5000,0,0.8,0.9,0.25
"26.3","Naive",0.227322229424104,0.0516753959903452,1.00227322229424,99.9,100,0.1,1,5000,0,0.8,0.9,0.25
"27.1","Ideal",0.0174465981861965,0.000304383788270596,1.00017446598186,99.9,100,0.2,1,5000,0,0.8,0.9,0.25
"27.2","IV",-0.0395046453243577,0.00156061700220329,0.999604953546756,94.9,100,0.2,1,5000,0,0.8,0.9,0.25
"27.3","Naive",0.955899905421907,0.91374462918561,1.00955899905422,99.9,100,0.2,1,5000,0,0.8,0.9,0.25
"28.1","Ideal",-0.0328279721889441,0.00107767575803809,0.999671720278111,100,100,0.3,1,5000,0,0.8,0.9,0.25
"28.2","IV",-0.0438994910996398,0.00192716531880736,0.999561005089004,95.5,100,0.3,1,5000,0,0.8,0.9,0.25
"28.3","Naive",1.91283796658714,3.65894908641723,1.01912837966587,99.8,100,0.3,1,5000,0,0.8,0.9,0.25
"29.1","Ideal",0.0288923239228944,0.000834766381665457,1.00028892323923,99.8,100,0.5,1,5000,0,0.8,0.9,0.25
"29.2","IV",-0.0226322804179828,0.000512220116918208,0.99977367719582,94.1,100,0.5,1,5000,0,0.8,0.9,0.25
"29.3","Naive",4.40204977803143,19.3780422482665,1.04402049778031,97.4,100,0.5,1,5000,0,0.8,0.9,0.25
"30.1","Ideal",0.00316562183816908,1.0021161622293e-05,1.00003165621838,99.9,100,0.9,1,5000,0,0.8,0.9,0.25
"30.2","IV",-0.0485657733803556,0.00235863434403206,0.999514342266196,94.9,100,0.9,1,5000,0,0.8,0.9,0.25
"30.3","Naive",8.46120699832935,71.5920238685776,1.08461206998329,81.4,100,0.9,1,5000,0,0.8,0.9,0.25
