"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1.1","Ideal",-0.186919075098022,0.0349387406354999,0.99813080924902,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.2","IV",-0.185022518384847,0.0342333323094711,0.998149774816152,94.8,100,0.1,1,5000,0,0.2,0.5,0.25
"1.3","MIME",-0.394447384920682,0.155588739470765,0.996055526150793,86.8,100,0.1,1,5000,0,0.2,0.5,0.25
"1.4","Naive",0.0561603210574698,0.00315398166127808,1.00056160321057,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.5","PSC",-0.376007611059189,0.141381723574438,0.996239923889408,91.6,100,0.1,1,5000,0,0.2,0.5,0.25
"2.1","Ideal",0.178925900248496,0.0320144777797347,1.00178925900249,99.6,100,0.5,1,5000,0,0.2,0.5,0.25
"2.2","IV",0.101036072069051,0.0102082878591425,1.00101036072069,96,100,0.5,1,5000,0,0.2,0.5,0.25
"2.3","MIME",0.238354154263369,0.0568127028546057,1.00238354154263,96.4,100,0.5,1,5000,0,0.2,0.5,0.25
"2.4","Naive",5.15768350375444,26.6016991249007,1.05157683503754,95.2,100,0.5,1,5000,0,0.2,0.5,0.25
"2.5","PSC",-2.08088773018563,4.33009374563711,0.979191122698144,95.2,100,0.5,1,5000,0,0.2,0.5,0.25
"3.1","Ideal",0.0386079887652929,0.00149057679650099,1.00038607988765,100,100,0.9,1,5000,0,0.2,0.5,0.25
"3.2","IV",-0.0393087203606123,0.00154517549638881,0.999606912796394,98.4,100,0.9,1,5000,0,0.2,0.5,0.25
"3.3","MIME",0.0165020788779914,0.000272318607295451,1.00016502078878,94.4,100,0.9,1,5000,0,0.2,0.5,0.25
"3.4","Naive",10.9181235109831,119.205421001082,1.10918123510983,37.2,100,0.9,1,5000,0,0.2,0.5,0.25
"3.5","PSC",-4.04355025721082,16.3502986825897,0.959564497427892,96,100,0.9,1,5000,0,0.2,0.5,0.25
"4.1","Ideal",0.31271171277111,0.097788615304241,1.00312711712771,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.2","IV",0.165217734259307,0.0272968997137789,1.00165217734259,98,100,0.1,1,5000,0,0.8,0.5,0.25
"4.3","MIME",0.404923835170816,0.163963312289442,1.00404923835171,99.2,100,0.1,1,5000,0,0.8,0.5,0.25
"4.4","Naive",0.580587695961057,0.337082072701368,1.00580587695961,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.5","PSC",0.0667743154556467,0.00445880920457022,1.00066774315456,96.8,100,0.1,1,5000,0,0.8,0.5,0.25
"5.1","Ideal",-0.236245114163896,0.0558117539663124,0.997637548858361,100,100,0.5,1,5000,0,0.8,0.5,0.25
"5.2","IV",-0.161093574586916,0.0259511397731902,0.998389064254131,94,100,0.5,1,5000,0,0.8,0.5,0.25
"5.3","MIME",-0.28859247966271,0.0832856193178714,0.997114075203373,99.2,100,0.5,1,5000,0,0.8,0.5,0.25
"5.4","Naive",3.4541509999765,11.9311591306386,1.03454150999977,98.4,100,0.5,1,5000,0,0.8,0.5,0.25
"5.5","PSC",-3.54073895762804,12.5368323660649,0.96459261042372,94.4,99.6,0.5,1,5000,0,0.8,0.5,0.25
"6.1","Ideal",-0.153556808290367,0.0235796933723245,0.998464431917096,100,100,0.9,1,5000,0,0.8,0.5,0.25
"6.2","IV",0.0515186014236831,0.00265416629265232,1.00051518601424,95.6,100,0.9,1,5000,0,0.8,0.5,0.25
"6.3","MIME",-0.28963130577767,0.0838862932864783,0.997103686942223,98.4,100,0.9,1,5000,0,0.8,0.5,0.25
"6.4","Naive",5.91642477560374,35.0040821253777,1.05916424775604,93.2,100,0.9,1,5000,0,0.8,0.5,0.25
"6.5","PSC",-4.85136219413571,23.5357151386893,0.951486378058643,96.4,98.4,0.9,1,5000,0,0.8,0.5,0.25
