"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1.1","Ideal",0.185552952241531,0.0344298980855481,1.00185552952242,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.2","Naive",0.484501600352921,0.234741800744542,1.00484501600353,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.3","SIMEX dir.",-2.14756332921995,4.61202825301027,0.978524366707801,100,100,0.1,1,5000,0,0.2,0.5,0.25
"2.1","Ideal",0.582283034950507,0.339053532791173,1.00582283034951,99,100,0.5,1,5000,0,0.2,0.5,0.25
"2.2","Naive",5.51747899741907,30.4425744869606,1.05517478997419,92,100,0.5,1,5000,0,0.2,0.5,0.25
"2.3","SIMEX dir.",-1.62330437857911,2.63511710551412,0.983766956214209,100,100,0.5,1,5000,0,0.2,0.5,0.25
"3.1","Ideal",0.164467405264249,0.0270495273943547,1.00164467405264,99,100,0.9,1,5000,0,0.2,0.5,0.25
"3.2","Naive",11.3372541471742,128.533331597619,1.11337254147174,36,100,0.9,1,5000,0,0.2,0.5,0.25
"3.3","SIMEX dir.",5.41092895287285,29.2781521330377,1.05410928952873,90,100,0.9,1,5000,0,0.2,0.5,0.25
"4.1","Ideal",-0.0724976011532792,0.00525590217297995,0.999275023988467,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.2","Naive",0.195403236775517,0.0381824249423488,1.00195403236776,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.3","SIMEX dir.",-2.17417082813203,4.7270187899003,0.97825829171868,100,100,0.1,1,5000,0,0.8,0.5,0.25
"5.1","Ideal",-0.046915628667314,0.0022010762132493,0.999530843713327,100,100,0.5,1,5000,0,0.8,0.5,0.25
"5.2","Naive",3.60989350757286,13.0313311360167,1.03609893507573,99,100,0.5,1,5000,0,0.8,0.5,0.25
"5.3","SIMEX dir.",0.447786682466555,0.200512912994403,1.00447786682467,100,100,0.5,1,5000,0,0.8,0.5,0.25
"6.1","Ideal",-0.0298132802288951,0.000888831678006626,0.999701867197711,100,100,0.9,1,5000,0,0.8,0.5,0.25
"6.2","Naive",6.32517736130206,40.0078686519281,1.06325177361302,93,100,0.9,1,5000,0,0.8,0.5,0.25
"6.3","SIMEX dir.",4.73712130558426,22.4403182638203,1.04737121305584,97,100,0.9,1,5000,0,0.8,0.5,0.25
