"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"1.1","Ideal",-0.480112787141894,0.230508288377158,0.995198872128581,94.8,100,0.1,1,1500,0,0.5,0.5,0.25,0,0
"1.2","IV",-0.65954997297026,0.43500616684507,0.993404500270297,92.4,100,0.1,1,1500,0,0.5,0.5,0.25,0,0
"1.3","MIME",-0.122392083244132,0.0149798220408385,0.998776079167559,94.8,100,0.1,1,1500,0,0.5,0.5,0.25,0,0
"1.4","Naive",-0.162083149900345,0.0262709474816177,0.998379168500997,93.6,100,0.1,1,1500,0,0.5,0.5,0.25,0,0
"1.5","PSC",-1.23361040100203,1.52179462146039,0.98766389598998,26,100,0.1,1,1500,0,0.5,0.5,0.25,0,0
"1.6","SIMEX ind.",-0.466278345990926,0.217415495940033,0.995337216540091,0,2,0.1,1,1500,0,0.5,0.5,0.25,0,0
"2.1","Ideal",-0.161193634574229,0.0259833878272499,0.998388063654258,94,100,0.25,1,1500,0,0.5,0.5,0.25,0,0
"2.2","IV",-0.053183428743716,0.00282847709293792,0.999468165712563,94.4,100,0.25,1,1500,0,0.5,0.5,0.25,0,0
"2.3","MIME",-0.1944635492021,0.0378160719682777,0.998055364507979,99.6,100,0.25,1,1500,0,0.5,0.5,0.25,0,0
"2.4","Naive",1.51118637570614,2.28368426211985,1.01511186375706,93.2,100,0.25,1,1500,0,0.5,0.5,0.25,0,0
"2.5","PSC",-1.50742067294433,2.27231708521992,0.984925793270557,34.4,99.6,0.25,1,1500,0,0.5,0.5,0.25,0,0
"2.6","SIMEX ind.",-0.193003228233992,0.0372502461087423,0.99806996771766,0,2.4,0.25,1,1500,0,0.5,0.5,0.25,0,0
"3.1","Ideal",0.336967505095626,0.113547099490371,1.00336967505096,96,100,0.5,1,1500,0,0.5,0.5,0.25,0,0
"3.2","IV",-0.0678947741555605,0.00460970035763457,0.999321052258444,96,100,0.5,1,1500,0,0.5,0.5,0.25,0,0
"3.3","MIME",-0.0424712365977735,0.00180380593814405,0.999575287634022,98.8,100,0.5,1,1500,0,0.5,0.5,0.25,0,0
"3.4","Naive",4.81501710409775,23.1843897127539,1.04815017104098,87.2,100,0.5,1,1500,0,0.5,0.5,0.25,0,0
"3.5","PSC",-5.81448191753248,33.8081999693122,0.941855180824675,34.4,98.4,0.5,1,1500,0,0.5,0.5,0.25,0,0
"3.6","SIMEX ind.",0.607404853537384,0.368940656100771,1.00607404853537,0,0,0.5,1,1500,0,0.5,0.5,0.25,0,0
"4.1","Ideal",-0.865471596913352,0.749041085063747,0.991345284030867,96.4,100,0.75,1,1500,0,0.5,0.5,0.25,0,0
"4.2","IV",-0.612493587009059,0.375148394127223,0.993875064129909,94.4,100,0.75,1,1500,0,0.5,0.5,0.25,0,0
"4.3","MIME",-0.797103258241948,0.635373604299929,0.992028967417581,95.6,100,0.75,1,1500,0,0.5,0.5,0.25,0,0
"4.4","Naive",6.97778870757966,48.6895352476262,1.0697778870758,81.6,100,0.75,1,1500,0,0.5,0.5,0.25,0,0
"4.5","PSC",-7.60100985222674,57.775350773648,0.923989901477733,38.8,94.4,0.75,1,1500,0,0.5,0.5,0.25,0,0
"4.6","SIMEX ind.",2.21738993973904,4.91681814485591,1.02217389939739,0.8,0,0.75,1,1500,0,0.5,0.5,0.25,0,0
"5.1","Ideal",0.0647810129070684,0.00419657963326576,1.00064781012907,95.6,100,0.9,1,1500,0,0.5,0.5,0.25,0,0
"5.2","IV",-0.969534069117592,0.939996311179716,0.990304659308824,96,100,0.9,1,1500,0,0.5,0.5,0.25,0,0
"5.3","MIME",-0.190974798108664,0.0364713735126448,0.998090252018913,96.8,100,0.9,1,1500,0,0.5,0.5,0.25,0,0
"5.4","Naive",9.11531606102219,83.0889868923291,1.09115316061022,74,100,0.9,1,1500,0,0.5,0.5,0.25,0,0
"5.5","PSC",-10.5012239781167,110.275705038573,0.894987760218833,36.8,89.6,0.9,1,1500,0,0.5,0.5,0.25,0,0
"5.6","SIMEX ind.",4.14466956473087,17.1782858008063,1.04144669564731,1.6,1.2,0.9,1,1500,0,0.5,0.5,0.25,0,0
