"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1.1","Ideal",-0.0263765005873275,0.000695719783233286,0.999736234994127,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.2","Naive",0.219909558445043,0.0483602138954939,1.00219909558445,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.3","SIMEX",82.6896282727847,6837.57462389132,1.82689628272785,100,0,0.1,1,5000,0,0.2,0.5,0.25
"2.1","Ideal",-0.150006682175273,0.0225020046972335,0.998499933178247,100,100,0.5,1,5000,0,0.2,0.5,0.25
"2.2","Naive",4.85130429828819,23.5351533945895,1.04851304298288,94.4,100,0.5,1,5000,0,0.2,0.5,0.25
"2.3","SIMEX",83.037859052561,6895.28603603299,1.83037859052561,100,0,0.5,1,5000,0,0.2,0.5,0.25
"3.1","Ideal",0.43528693270646,0.189474713784998,1.00435286932706,100,100,0.9,1,5000,0,0.2,0.5,0.25
"3.2","Naive",11.6291326938921,135.236727212151,1.11629132693892,34.8,100,0.9,1,5000,0,0.2,0.5,0.25
"3.3","SIMEX",84.0386929697679,7062.50191606691,1.84038692969768,100,0,0.9,1,5000,0,0.2,0.5,0.25
"4.1","Ideal",-0.12368588154165,0.0152981972927352,0.998763141184584,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.2","Naive",0.127708756102348,0.016309526385209,1.00127708756102,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.3","SIMEX",120.198324704567,14447.6372617844,2.20198324704567,100,0,0.1,1,5000,0,0.8,0.5,0.25
"5.1","Ideal",0.146267667565871,0.0213942305751602,1.00146267667566,100,100,0.5,1,5000,0,0.8,0.5,0.25
"5.2","Naive",3.85413193761734,14.854332992562,1.03854131937617,99.2,100,0.5,1,5000,0,0.8,0.5,0.25
"5.3","SIMEX",121.084065931916,14661.3510226046,2.21084065931916,100,0,0.5,1,5000,0,0.8,0.5,0.25
"6.1","Ideal",0.133843339371916,0.0179140394942259,1.00133843339372,100,100,0.9,1,5000,0,0.8,0.5,0.25
"6.2","Naive",6.34090866378458,40.2071226824584,1.06340908663785,92.8,100,0.9,1,5000,0,0.8,0.5,0.25
"6.3","SIMEX",120.666462621236,14560.3952015222,2.20666462621236,100,0,0.9,1,5000,0,0.8,0.5,0.25
