"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"1.1","IV",0.506314479091463,0.25635435173766,0.100506314479091,95.6,74,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.2","Ideal",0.473729792663996,0.224419916457473,0.100473729792664,95.6,73.2,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.3","MIME",3.04456296187105,9.269363628797,0.103044562961871,80.4,43.6,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.4","Naive",2.821105448579,7.9586359520021,0.102821105448579,95.6,75.2,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.5","PSC",1.36342717983808,1.85893367472123,0.101363427179838,32,94,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"1.6","SIMEX ind.",0.419869821759584,0.176290667224425,0.10041986982176,0.8,50.8,0.1,0.1,3000,0,0.1,0.5,0.25,0,0
"2.1","IV",-0.366517160442178,0.134334828898597,0.0996334828395578,97.6,73.2,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.2","Ideal",-0.999139377131125,0.998279494933973,0.0990008606228689,95.2,74,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.3","MIME",-0.247753984385725,0.0613820367790022,0.0997522460156143,97.6,43.2,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.4","Naive",14.231786254998,202.543740007949,0.114231786254998,96,81.6,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.5","PSC",5.60393972137313,31.4041404007835,0.105603939721373,30,94,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"2.6","SIMEX ind.",0.587926856601274,0.345657988713055,0.100587926856601,0.8,50,0.25,0.1,3000,0,0.1,0.5,0.25,0,0
"3.1","IV",-1.12084776837292,1.25629971986655,0.0988791522316271,94,59.6,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.2","Ideal",-1.73176857354561,2.9990223923202,0.0982682314264544,96,66.8,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.3","MIME",-0.290055891912085,0.0841324204329153,0.0997099441080879,92.4,46,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.4","Naive",48.2258602155096,2325.73359352587,0.14822586021551,78.4,96,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.5","PSC",21.5819452984019,465.780362863214,0.121581945298402,32,90.8,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"3.6","SIMEX ind.",4.86813109707392,23.6987003782982,0.104868131097074,1.2,48.8,0.5,0.1,3000,0,0.1,0.5,0.25,0,0
"4.1","IV",1.20868513126691,1.4609197465457,0.101208685131267,94,54.4,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.2","Ideal",-0.602625419423559,0.36315739613542,0.0993973745805764,94.8,74,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.3","MIME",-0.0526070682339131,0.00276750362816759,0.0999473929317661,85.6,43.2,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.4","Naive",89.9179920978315,8085.24530290569,0.189917992097832,49.2,98,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.5","PSC",43.5208946569693,1894.06827174302,0.143520894656969,30,90,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
"4.6","SIMEX ind.",30.958309780824,958.416944485463,0.130958309780824,6,26.8,0.75,0.1,3000,0,0.1,0.5,0.25,0,0
