,method,bias,rmse,estimate,ci_cov,power,n,sig_u,ba,aw,bw,mis
8.2,IV,0.101419339,0.101419339,1.001014193,98,100,1000,0.5,1,0.5,0.5,base
8.3,Ideal,0.077505502,0.077505502,1.000775055,94.2,100,1000,0.5,1,0.5,0.5,base
8.4,MIME,-0.804950019,0.804950019,0.9919505,95.6,100,1000,0.5,1,0.5,0.5,base
8.5,Naive,-18.97972005,18.97972005,0.810202799,0,100,1000,0.5,1,0.5,0.5,base
8.6,RC,0.386208581,0.386208581,1.003862086,98.8,100,1000,0.5,1,0.5,0.5,base
8.7,SIMEX,-5.333436366,5.333436366,0.946665636,68.6,100,1000,0.5,1,0.5,0.5,base
9.1,CV,-0.23642368,0.23642368,0.997635763,88.95582329,100,1000,0.75,1,0.5,0.5,base
9.2,IV,0.46970884,0.46970884,1.004697088,96.6,100,1000,0.75,1,0.5,0.5,base
9.3,Ideal,-0.008188412,0.008188412,0.999918116,92.4,100,1000,0.75,1,0.5,0.5,base
9.4,MIME,-1.271624947,1.271624947,0.987283751,96.4,100,1000,0.75,1,0.5,0.5,base
9.5,Naive,-34.44453224,34.44453224,0.655554678,0,100,1000,0.75,1,0.5,0.5,base
9.6,RC,0.862969268,0.862969268,1.008629693,98.6,100,1000,0.75,1,0.5,0.5,base
9.7,SIMEX,-16.48178091,16.48178091,0.835182191,5.2,100,1000,0.75,1,0.5,0.5,base
10.1,CV,0.148247395,0.148247395,1.001482474,89.17835671,100,1000,0.9,1,0.5,0.5,base
10.2,IV,0.099832232,0.099832232,1.000998322,95.2,100,1000,0.9,1,0.5,0.5,base
10.3,Ideal,-0.035989099,0.035989099,0.999640109,92.4,100,1000,0.9,1,0.5,0.5,base
10.4,MIME,-1.259545963,1.259545963,0.98740454,93.4,100,1000,0.9,1,0.5,0.5,base
10.5,Naive,-43.27219778,43.27219778,0.567278022,0,100,1000,0.9,1,0.5,0.5,base
10.6,RC,0.516535376,0.516535376,1.005165354,99.4,100,1000,0.9,1,0.5,0.5,base
10.7,SIMEX,-25.00032956,25.00032956,0.749996704,0,100,1000,0.9,1,0.5,0.5,base
11.1,CV,-0.019045965,0.019045965,-0.50009523,91.36069114,100,1000,0.1,-0.5,0.5,0.5,ps-mis
11.2,IV,-0.408838842,0.408838842,-0.502044194,95.8,91.4,1000,0.1,-0.5,0.5,0.5,ps-mis
11.3,Ideal,0.322925591,0.322925591,-0.498385372,92.4,100,1000,0.1,-0.5,0.5,0.5,ps-mis
11.4,MIME,-0.059720599,0.059720599,-0.500298603,96.2,100,1000,0.1,-0.5,0.5,0.5,ps-mis
11.5,Naive,1.205275092,1.205275092,-0.493973625,92,100,1000,0.1,-0.5,0.5,0.5,ps-mis
11.6,RC,0.316733729,0.316733729,-0.498416331,93.4,100,1000,0.1,-0.5,0.5,0.5,ps-mis
11.7,SIMEX,0.305536246,0.305536246,-0.498472319,92.6,100,1000,0.1,-0.5,0.5,0.5,ps-mis
12.1,CV,0.41838259,0.41838259,-0.497908087,87.94178794,100,1000,0.25,-0.5,0.5,0.5,ps-mis
12.2,IV,0.213881803,0.213881803,-0.498930591,95.6,92.4,1000,0.25,-0.5,0.5,0.5,ps-mis
12.3,Ideal,0.399905488,0.399905488,-0.498000473,92.6,100,1000,0.25,-0.5,0.5,0.5,ps-mis
12.4,MIME,0.916006116,0.916006116,-0.495419969,93.2,100,1000,0.25,-0.5,0.5,0.5,ps-mis
12.5,Naive,5.820218405,5.820218405,-0.470898908,79.2,100,1000,0.25,-0.5,0.5,0.5,ps-mis
12.6,RC,0.41493286,0.41493286,-0.497925336,92.2,100,1000,0.25,-0.5,0.5,0.5,ps-mis
12.7,SIMEX,0.876256602,0.876256602,-0.495618717,90.8,100,1000,0.25,-0.5,0.5,0.5,ps-mis
13.1,CV,-0.45537143,0.45537143,-0.502276857,86.92152918,100,1000,0.5,-0.5,0.5,0.5,ps-mis
13.2,IV,-2.211037816,2.211037816,-0.511055189,96.6,92.6,1000,0.5,-0.5,0.5,0.5,ps-mis
13.3,Ideal,0.296063839,0.296063839,-0.498519681,91.8,100,1000,0.5,-0.5,0.5,0.5,ps-mis
13.4,MIME,0.809978696,0.809978696,-0.495950107,93.8,100,1000,0.5,-0.5,0.5,0.5,ps-mis
13.5,Naive,19.00215221,19.00215221,-0.404989239,17.6,100,1000,0.5,-0.5,0.5,0.5,ps-mis
13.6,RC,-0.088252608,0.088252608,-0.500441263,93.4,100,1000,0.5,-0.5,0.5,0.5,ps-mis
13.7,SIMEX,5.753542638,5.753542638,-0.471232287,80.6,100,1000,0.5,-0.5,0.5,0.5,ps-mis
14.1,CV,-0.387923174,0.387923174,-0.501939616,89.73843058,100,1000,0.75,-0.5,0.5,0.5,ps-mis
14.2,IV,-0.102314639,0.102314639,-0.500511573,95.4,91.8,1000,0.75,-0.5,0.5,0.5,ps-mis
14.3,Ideal,0.089990685,0.089990685,-0.499550047,90.6,100,1000,0.75,-0.5,0.5,0.5,ps-mis
14.4,MIME,1.136965544,1.136965544,-0.494315172,94.8,100,1000,0.75,-0.5,0.5,0.5,ps-mis
14.5,Naive,34.33899817,34.33899817,-0.328305009,0,100,1000,0.75,-0.5,0.5,0.5,ps-mis
14.6,RC,0.050996577,0.050996577,-0.499745017,95.4,100,1000,0.75,-0.5,0.5,0.5,ps-mis
14.7,SIMEX,16.59569814,16.59569814,-0.417021509,34.4,100,1000,0.75,-0.5,0.5,0.5,ps-mis
15.1,CV,-0.251531372,0.251531372,-0.501257657,88.12877264,100,1000,0.9,-0.5,0.5,0.5,ps-mis
15.2,IV,-4.580148322,4.580148322,-0.522900742,96.8,92.4,1000,0.9,-0.5,0.5,0.5,ps-mis
15.3,Ideal,0.049879221,0.049879221,-0.499750604,92.6,100,1000,0.9,-0.5,0.5,0.5,ps-mis
