"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1.1","Ideal",-0.226637158726157,0.0513644017154653,0.997733628412738,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.2","Naive",0.0162492631041313,0.000264038551427284,1.00016249263104,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.3","SIMEX",0.0162492631041313,0.000264038551427284,1.00016249263104,0,2,0.1,1,5000,0,0.2,0.5,0.25
"2.1","Ideal",0.148051735355327,0.0219193163417239,1.00148051735355,100,100,0.5,1,5000,0,0.2,0.5,0.25
"2.2","Naive",5.14953009730973,26.5176602230987,1.0514953009731,98,100,0.5,1,5000,0,0.2,0.5,0.25
"2.3","SIMEX",5.14953009730973,26.5176602230987,1.0514953009731,2,0,0.5,1,5000,0,0.2,0.5,0.25
"3.1","Ideal",0.0786302859198083,0.0061827218638308,1.0007863028592,100,100,0.9,1,5000,0,0.2,0.5,0.25
"3.2","Naive",10.6466176674122,113.350467756054,1.10646617667412,46,100,0.9,1,5000,0,0.2,0.5,0.25
"3.3","SIMEX",10.6466176674122,113.350467756054,1.10646617667412,54,0,0.9,1,5000,0,0.2,0.5,0.25
"4.1","Ideal",-0.38308907012238,0.14675723564723,0.996169109298776,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.2","Naive",-0.130440446206837,0.0170147100066387,0.998695595537932,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.3","SIMEX",-0.130440446206837,0.0170147100066387,0.998695595537932,0,0,0.1,1,5000,0,0.8,0.5,0.25
"5.1","Ideal",0.132052986871005,0.0174379913415538,1.00132052986871,100,100,0.5,1,5000,0,0.8,0.5,0.25
"5.2","Naive",3.72558340736379,13.8799717252244,1.03725583407364,94,100,0.5,1,5000,0,0.8,0.5,0.25
"5.3","SIMEX",3.72558340736379,13.8799717252244,1.03725583407364,6,0,0.5,1,5000,0,0.8,0.5,0.25
"6.1","Ideal",-0.087030856612863,0.00757437000276872,0.999129691433871,100,100,0.9,1,5000,0,0.8,0.5,0.25
"6.2","Naive",5.94644103294833,35.3601609583315,1.05946441032948,96,100,0.9,1,5000,0,0.8,0.5,0.25
"6.3","SIMEX",5.94644103294833,35.3601609583315,1.05946441032948,4,0,0.9,1,5000,0,0.8,0.5,0.25
