"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax"
"1.1","Ideal",-0.248763788187169,0.0618834223132304,0.997512362118128,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.2","Naive",-0.0395572735719116,0.00156477789244306,0.999604427264281,100,100,0.1,1,5000,0,0.2,0.5,0.25
"1.3","SIMEX",-0.314008655137572,0.0986014355013064,0.996859913448624,0,2,0.1,1,5000,0,0.2,0.5,0.25
"2.1","Ideal",-0.103036570910602,0.0106165349450156,0.998969634290894,100,100,0.5,1,5000,0,0.2,0.5,0.25
"2.2","Naive",5.05198547447228,25.5225572342789,1.05051985474472,96,100,0.5,1,5000,0,0.2,0.5,0.25
"2.3","SIMEX",0.79842368192728,0.637480375862315,1.00798423681927,0,0,0.5,1,5000,0,0.2,0.5,0.25
"3.1","Ideal",-0.234127401866534,0.0548156403047734,0.997658725981335,100,100,0.9,1,5000,0,0.2,0.5,0.25
"3.2","Naive",10.8501588458195,117.725946979516,1.1085015884582,48,100,0.9,1,5000,0,0.2,0.5,0.25
"3.3","SIMEX",4.69040182390453,21.9998692696869,1.04690401823905,6,0,0.9,1,5000,0,0.2,0.5,0.25
"4.1","Ideal",0.974065884583614,0.948804347509659,1.00974065884584,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.2","Naive",1.24819551513625,1.55799204400624,1.01248195515136,100,100,0.1,1,5000,0,0.8,0.5,0.25
"4.3","SIMEX",0.984087290999428,0.968427796306592,1.00984087290999,0,2,0.1,1,5000,0,0.8,0.5,0.25
"5.1","Ideal",-0.448315575308183,0.200986855063907,0.995516844246918,100,100,0.5,1,5000,0,0.8,0.5,0.25
"5.2","Naive",3.30131582760145,10.8986861935718,1.03301315827601,98,100,0.5,1,5000,0,0.8,0.5,0.25
"5.3","SIMEX",0.827731969298852,0.685140212999356,1.00827731969299,2,0,0.5,1,5000,0,0.8,0.5,0.25
"6.1","Ideal",-0.253264496141707,0.0641429050059129,0.997467355038583,100,100,0.9,1,5000,0,0.8,0.5,0.25
"6.2","Naive",5.91800416264975,35.0227732691398,1.0591800416265,94,100,0.9,1,5000,0,0.8,0.5,0.25
"6.3","SIMEX",3.93016985983266,15.4462351271371,1.03930169859833,0,0,0.9,1,5000,0,0.8,0.5,0.25
