"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"1.1","Ideal",-0.408372658600881,0.166768228292751,0.995916273413991,98,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.2","IV",-0.450917104003224,0.203326234682655,0.995490828959968,96.6666666666667,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.3","MIME",-1.01800227290576,1.0363286276413,0.989819977270942,88,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.4","Naive",-0.153331454899138,0.0235105350614863,0.998466685451009,97.3333333333333,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.5","PSC",-0.812729056626422,0.660528519484875,0.991872709433736,30,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.6","SIMEX ind.",-0.519194794363483,0.26956323449414,0.994808052056365,0,1.33333333333333,0.1,1,1500,0,0.25,0.5,0.25,0,0
"2.1","Ideal",0.803733577816982,0.645987664110487,1.00803733577817,97.3333333333333,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.2","IV",0.746730617369575,0.557606614917146,1.0074673061737,96.6666666666667,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.3","MIME",0.99040202201774,0.980896165216828,1.00990402022018,100,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.4","Naive",2.14707513548972,4.60993163743819,1.0214707513549,94.6666666666667,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.5","PSC",-0.514344115174331,0.264549868814466,0.994856558848257,35.3333333333333,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.6","SIMEX ind.",0.598954650737195,0.358746673639716,1.00598954650737,0,1.33333333333333,0.25,1,1500,0,0.25,0.5,0.25,0,0
"3.1","Ideal",0.47286718109392,0.22360337095571,1.00472867181094,92,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.2","IV",0.224239652895295,0.0502834219306025,1.00224239652895,96,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.3","MIME",0.100123688446926,0.0100247529882171,1.00100123688447,98,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.4","Naive",5.24518301525704,27.5119448635409,1.05245183015257,90.6666666666667,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.5","PSC",-2.74080501756633,7.51201214431677,0.972591949824337,38.6666666666667,99.3333333333333,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.6","SIMEX ind.",0.941980166953498,0.887326634933741,1.00941980166954,0,1.33333333333333,0.5,1,1500,0,0.25,0.5,0.25,0,0
"4.1","Ideal",0.720179016710966,0.518657816110774,1.00720179016711,95.3333333333333,100,0.75,1,1500,0,0.25,0.5,0.25,0,0
"4.2","IV",0.385376250798519,0.148514854679523,1.00385376250799,96,100,0.75,1,1500,0,0.25,0.5,0.25,0,0
"4.3","MIME",2.17999991203416,4.75239961646896,1.02179999912034,94.6666666666667,100,0.75,1,1500,0,0.25,0.5,0.25,0,0
"4.4","Naive",9.47198639974274,89.7185263569115,1.09471986399743,67.3333333333333,100,0.75,1,1500,0,0.25,0.5,0.25,0,0
"4.5","PSC",-6.61013992129591,43.6939497791099,0.933898600787041,37.3333333333333,94.6666666666667,0.75,1,1500,0,0.25,0.5,0.25,0,0
"4.6","SIMEX ind.",3.69713349796925,13.6687961018063,1.03697133497969,2,1.33333333333333,0.75,1,1500,0,0.25,0.5,0.25,0,0
"5.1","Ideal",0.410247693586621,0.168303170093142,1.00410247693587,89.3333333333333,100,0.9,1,1500,0,0.25,0.5,0.25,0,0
"5.2","IV",0.367144904401211,0.134795380827775,1.00367144904401,91.3333333333333,100,0.9,1,1500,0,0.25,0.5,0.25,0,0
"5.3","MIME",1.075344163458,1.15636506988319,1.01075344163458,92.6666666666667,100,0.9,1,1500,0,0.25,0.5,0.25,0,0
"5.4","Naive",11.140036649756,124.100416557906,1.11140036649756,57.3333333333333,100,0.9,1,1500,0,0.25,0.5,0.25,0,0
"5.5","PSC",-7.6558478287131,58.612005976411,0.923441521712869,36.6666666666667,96,0.9,1,1500,0,0.25,0.5,0.25,0,0
"5.6","SIMEX ind.",5.23646433778791,27.4205587609246,1.05236464337788,4.66666666666667,0.666666666666667,0.9,1,1500,0,0.25,0.5,0.25,0,0
