"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"1.1","IV",0.867177122328921,0.751996161490668,1.00867177122329,94.6666666666667,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.2","Ideal",0.921750975465737,0.849624860772038,1.00921750975466,94.6666666666667,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.3","MIME",0.860327775597764,0.740163881464997,1.00860327775598,90.6666666666667,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.4","Naive",1.17274532402678,1.37533159502668,1.01172745324027,94,100,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.5","PSC",0.363240760331828,0.131943849966445,1.00363240760332,30.6666666666667,99.3333333333333,0.1,1,1500,0,0.25,0.5,0.25,0,0
"1.6","SIMEX ind.",0.984550012518343,0.96933872714987,1.00984550012518,0,0.666666666666667,0.1,1,1500,0,0.25,0.5,0.25,0,0
"2.1","IV",-0.274334928375612,0.075259652926852,0.997256650716244,94.6666666666667,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.2","Ideal",-0.349661897473027,0.122263442544438,0.99650338102527,95.3333333333333,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.3","MIME",0.00956319869659783,9.14547693106104e-05,1.00009563198697,100,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.4","Naive",1.19227384877955,1.4215169304836,1.0119227384878,94.6666666666667,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.5","PSC",-0.847962659883859,0.719040672557309,0.991520373401161,32,100,0.25,1,1500,0,0.25,0.5,0.25,0,0
"2.6","SIMEX ind.",-0.0489964211128551,0.00240064928186824,0.999510035788871,0.666666666666667,2,0.25,1,1500,0,0.25,0.5,0.25,0,0
"3.1","IV",0.574780527186778,0.33037265443311,1.00574780527187,90.6666666666667,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.2","Ideal",0.453487911088974,0.205651285503841,1.00453487911089,94.6666666666667,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.3","MIME",0.758218644479652,0.574895512836561,1.0075821864448,99.3333333333333,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.4","Naive",5.59749121159789,31.3319078639156,1.05597491211598,83.3333333333333,100,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.5","PSC",-2.56255521120745,6.56668921048646,0.974374447887925,36,99.3333333333333,0.5,1,1500,0,0.25,0.5,0.25,0,0
"3.6","SIMEX ind.",1.06194050840732,1.1277176433964,1.01061940508407,0,0.666666666666667,0.5,1,1500,0,0.25,0.5,0.25,0,0
