"","method","bias","mse","ATE","ci_cov","power","u","a","n","bax1","bax2"
"1.1","CSME",-0.510687697390311,0.260801924265818,1.36797804416088,94,100,0.1,1,1500,-0.25,0.5
"1.2","Ideal",-0.45974097647982,0.211361765454618,1.3686785615734,92,100,0.1,1,1500,-0.25,0.5
"1.3","Naive",-1.23700451647204,1.53018017377222,1.35799118789851,92,100,0.1,1,1500,-0.25,0.5
"1.4","Reg. cal.",-0.47240994714808,0.223171158164452,1.36850436322671,94,100,0.1,1,1500,-0.25,0.5
"1.5","SIMEX",-0.457503867747683,0.209309789004089,1.36870932181847,94,100,0.1,1,1500,-0.25,0.5
"2.1","CSME",0.237550144856659,0.0564300713214199,1.37826631449178,84,100,0.5,1,1500,-0.25,0.5
"2.2","Ideal",-0.216669666668194,0.0469457444541064,1.37202079208331,90,100,0.5,1,1500,-0.25,0.5
"2.3","Naive",-16.6078679275097,275.821277097606,1.14664181599674,0,100,0.5,1,1500,-0.25,0.5
"2.4","Reg. cal.",-0.361324103797307,0.130555107984927,1.37003179357279,76,100,0.5,1,1500,-0.25,0.5
"2.5","SIMEX",-2.20632851798521,4.86788552927482,1.3446629828777,88,100,0.5,1,1500,-0.25,0.5
"3.1","CSME",-0.128516802065668,0.0165165684131862,1.3732328939716,84,100,0.9,1,1500,-0.25,0.5
"3.2","Ideal",-0.16154743388535,0.0260975733949416,1.37277872278408,88,100,0.9,1,1500,-0.25,0.5
"3.3","Naive",-39.5542147005485,1564.53590057708,0.831129547867459,0,100,0.9,1,1500,-0.25,0.5
"3.4","Reg. cal.",0.914508972730865,0.836326661205263,1.38757449837505,72,100,0.9,1,1500,-0.25,0.5
"3.5","SIMEX",-17.0434935632717,290.480672841285,1.14065196350501,0,100,0.9,1,1500,-0.25,0.5
